attack,eps_255,steps,AUC_clean,AUC_adv,AUC_drop
FGSM_0,0,0,0.5,0.75,-0.25
PGD5_0,0,5,0.5,0.75,-0.25
PGD10_0,0,10,0.5,0.75,-0.25
PGD20_0,0,20,0.5,0.75,-0.25
FGSM_2,2,0,0.5,0.75,-0.25
PGD5_2,2,5,0.5,0.5,0.0
PGD10_2,2,10,0.5,0.5,0.0
PGD20_2,2,20,0.5,0.5,0.0
FGSM_4,4,0,0.5,0.75,-0.25
PGD5_4,4,5,0.5,0.5,0.0
PGD10_4,4,10,0.5,0.5,0.0
PGD20_4,4,20,0.5,0.5,0.0
FGSM_6,6,0,0.5,0.75,-0.25
PGD5_6,6,5,0.5,0.5,0.0
PGD10_6,6,10,0.5,0.5,0.0
PGD20_6,6,20,0.5,0.5,0.0
FGSM_8,8,0,0.5,0.75,-0.25
PGD5_8,8,5,0.5,0.5,0.0
PGD10_8,8,10,0.5,0.5,0.0
PGD20_8,8,20,0.5,0.5,0.0
FGSM,0,0,0,0.5,0.75,-0.25
PGD5_a2,0,5,2,0.5,0.75,-0.25
PGD10_a2,0,10,2,0.5,0.75,-0.25
PGD20_a2,0,20,2,0.5,0.75,-0.25
FGSM,2,0,0,0.5,0.75,-0.25
PGD5_a2,2,5,2,0.5,0.5,0.0
PGD10_a2,2,10,2,0.5,0.5,0.0
PGD20_a2,2,20,2,0.5,0.5,0.0
FGSM,4,0,0,0.5,0.75,-0.25
PGD5_a2,4,5,2,0.5,0.5,0.0
PGD10_a2,4,10,2,0.5,0.5,0.0
PGD20_a2,4,20,2,0.5,0.5,0.0
FGSM,6,0,0,0.5,0.75,-0.25
PGD5_a2,6,5,2,0.5,0.5,0.0
PGD10_a2,6,10,2,0.5,0.5,0.0
PGD20_a2,6,20,2,0.5,0.5,0.0
FGSM,8,0,0,0.5,0.75,-0.25
PGD5_a2,8,5,2,0.5,0.5,0.0
PGD10_a2,8,10,2,0.5,0.5,0.0
PGD20_a2,8,20,2,0.5,0.5,0.0
